Mandi,Traders,Coupons,Type
Bhagokavan,6,570,Purchase Centre
Bhagoke,13,484,Purchase Centre
Bhagomajra,4,596,Purchase Centre
Bhagomajra (F.P.),5,353,Purchase Centre
Bhagsar,30,1726,Purchase Centre
Bhagta Bhaika,50,2275,Main Yard
Bhagtana,4,292,Purchase Centre
Bhagtanwala,203,7418,Main Yard
Bhagu,21,1382,Purchase Centre
Bhagu,21,1382,Purchase Centre
Bhagwan Rice Mill,10,374,Sheller/ Others
Bhagwan Rice Mill,10,374,Sheller/ Others
Bhagwan Rice Mill,10,374,Sheller/ Others
Bhagwan Rice Mill,10,374,Sheller/ Others
Bhagwan Rice Mill,10,374,Sheller/ Others
Bhagwan Rice Mill,10,374,Sheller/ Others
Bhagwangad,5,547,Purchase Centre
Bhagwat Rice mill,3,169,Sheller/ Others
Bhagwati Agro foods Bhagta,2,97,Sheller/ Others
Bhagwati Rice Mill,4,210,Sheller/ Others
Bhagwati Rice Mill,4,210,Sheller/ Others
Bhagwati Rice Mill,4,210,Sheller/ Others
"Bhagwati Rice Mill, Sardulgarh",4,157,Sheller/ Others
"Bhagwati Rice Mills, Goniana",3,131,Sheller/ Others
"Bhagwati Rice Mills, Lehra Mohabat",1,55,Sheller/ Others
"Bhagwati Rice mill, Sangat",4,320,Sheller/ Others
Bhagwati Rice mills,1,173,Sheller/ Others
"Bhagwati Rice mills, Sekhu road, Malout",19,106,Sheller/ Others
Bhagwati agro mill,2,107,Sheller/ Others
Bhagwati rice and genral mills,1,85,Sheller/ Others
Bhagwati rice and janral mill,3,203,Sheller/ Others
Bhagwati trading company,7,161,Sheller/ Others
Bhai Bakhtour,6,355,Purchase Centre
Bhai Desa,7,328,Purchase Centre
Bhai Jagta ji Rice mill,2,141,Sheller/ Others
"Bhai Lehna ji rice mills, Sarayenaga road, Harike Kalan",3,136,Sheller/ Others
Bhaika Kera,15,760,Sub Yard
Bhaiki Paser,9,423,Purchase Centre
Bhaini,19,921,Purchase Centre
Bhaini,19,921,Purchase Centre
Bhaini Arayian,11,553,Purchase Centre
Bhaini Bhagha,19,746,Purchase Centre
Bhaini Jassa,11,354,Purchase Centre
Bhaini Mehraj,11,550,Purchase Centre
Bhaini Paswal,5,352,Purchase Centre
Bhaini fatta,10,469,Purchase Centre
Bhainimiya Kha,20,986,Purchase Centre
Bhairupa,19,1244,Sub Yard
Bhajan Singh and Sons,1,105,Sheller/ Others
Bhakhrial,3,299,Purchase Centre
Bhakna Kalan,11,1104,Purchase Centre
Bhalaiana,21,1326,Sub Yard
Bhalayike,15,1310,Purchase Centre
Bhaloor,16,619,Purchase Centre
Bhalwan,10,546,Purchase Centre
Bhama Singh wala (Dakhli pallamegha),7,278,Purchase Centre
Bhamarsi,12,503,Sub Yard
Bhamekalan,20,911,Sub Yard
Bhamipuran,8,412,Purchase Centre
Bhandalbet,10,1558,Purchase Centre
Bhandari Rice mill unit 2,4,156,Sheller/ Others
BhangChari,6,230,Purchase Centre
Bhangala,41,1396,Purchase Centre
Bhangala,41,1396,Purchase Centre
Bhangali,4,466,Purchase Centre
Bhangar,10,475,Purchase Centre
Bhangu Ind.,2,116,Sheller/ Others
Bhanolanga,4,329,Purchase Centre
Bhanra,6,739,Purchase Centre
Bharana,8,372,Purchase Centre
Bharar Food Industries,2,91,Sheller/ Others
Bharat Agro Indus.,2,170,Sheller/ Others
Bharat Rice Mills Bhucho,2,62,Sheller/ Others
Bharatgarh,9,942,Purchase Centre
Bharo,10,439,Purchase Centre
Bharoana,5,725,Purchase Centre
Bharur,2,134,Purchase Centre
Bhasaur,11,419,Purchase Centre
Bhathinda,66,3174,Main Yard
Bhathla,3,198,Purchase Centre
Bhatia Rice Mill,1,68,Sheller/ Others
Bhatiaya,18,1187,Purchase Centre
Bhatiwal Kalan,17,476,Purchase Centre
Bhavda AajmSah,9,224,Purchase Centre
Bhawa,4,294,Purchase Centre
Bhawanigarh,53,1543,Main Yard
Bherowal,1,102,Purchase Centre
Bhikhampur Begowal,13,485,Purchase Centre
Bhikhi,52,2074,Main Yard
Bhikhiwind,140,2948,Main Yard
Bhilowal,58,2705,Purchase Centre
Bhinderkalan,20,904,Purchase Centre
Bhindra,9,535,Sub Yard
Bhitiwala,7,383,Purchase Centre
BhoKhda,7,523,Purchase Centre
Bhoa,10,524,Sub Yard
Bhode Saprai,12,396,Purchase Centre
Bhodipura,17,743,Purchase Centre
Bhodiwala,6,359,Purchase Centre
Bhoewal,5,656,Purchase Centre
Bhogpur,63,4131,Main Yard
Bhojomajri,2,214,Purchase Centre
Bhola Rice Mills,1,129,Sheller/ Others
Bhole Nath Rice Mill,2,135,Sheller/ Others
Bhole Shankar rice Mills,5,69,Sheller/ Others
Bhole Shankar rice Mills Maud,3,70,Sheller/ Others
"Bhole Shanker Rice mill, Bhucho",1,131,Sheller/ Others
Bhootgarh,8,611,Purchase Centre
Bhore,10,405,Purchase Centre
Bhotna,8,397,Purchase Centre
Bhoyepur,9,610,Purchase Centre
Bhucho,50,1388,Main Yard
Bhudan,18,646,Purchase Centre
Bhulan,7,699,Purchase Centre
Bhularheri,10,617,Purchase Centre
Bhularwala,14,547,Purchase Centre
Bhulath,41,3066,Main Yard
Bhuleriyan,8,548,Purchase Centre
Bhullar,34,1833,Purchase Centre
Bhundar,10,695,Purchase Centre
Bhundri,12,918,Sub Yard
Bhunerheri,36,1759,Purchase Centre
Bhupal,10,648,Purchase Centre
Bhurakona,21,369,Sub Yard
Bhure Khurd,17,364,Purchase Centre
Bhurthala,14,562,Purchase Centre
Bhusan Rice Mill,2,119,Sheller/ Others
Bhuta foods,1,85,Sheller/ Others
Bhutal Kalan,14,893,Purchase Centre
Bhutiwala,11,473,Purchase Centre
Bhuyianwala,9,534,Purchase Centre
Bidas Foods Private limited,2,53,Sheller/ Others
Bidas Foods Private limited unit-2,1,10,Sheller/ Others
Bihani Agro pvt. Ltd,1,160,Sheller/ Others
Bijoki Kalan,10,524,Purchase Centre
Bikter Rice Mill,2,263,Sheller/ Others
Bilaspur,23,1057,Purchase Centre
Bilaspur,23,1057,Purchase Centre
"Birbal rice and General mills, Sarayenaga road, Mrar kalan",3,112,Sheller/ Others
Birewala Dhogran,5,231,Purchase Centre
Biroke Khurd,13,568,Purchase Centre
Biroke kalan,19,752,Purchase Centre
Bkapur,5,434,Purchase Centre
Bkenwala,10,795,Purchase Centre
Blair Khanpur,4,344,Sub Yard
Bodiwala,7,509,Purchase Centre
Boha,36,2798,Main Yard
Bohdinpur,12,561,Sub Yard
Bolewal,8,640,Purchase Centre
Boparai Enterprises,2,114,Sheller/ Others
Boparai Rice Mills,1,123,Sheller/ Others
Borawal,14,765,Purchase Centre
Bori,8,721,Purchase Centre
Braham Rice Mill Bajrur,1,50,Sheller/ Others
Brahman Majra Rice Mill,2,75,Sheller/ Others
Brahmpura,9,522,Purchase Centre
Brar Agro Ind.,1,182,Sheller/ Others
"Brar Agro Industires, Dhani Partap Singh, Pind Malout",26,164,Sheller/ Others
Brar Rice Mills,2,161,Sheller/ Others
Brar Rice Mills Liji Shiv Rice Mills,2,155,Sheller/ Others
Brar Rice mill,7,279,Sheller/ Others
Brar agro food pvt. Ltd,1,123,Sheller/ Others
Bras Rice Mill,1,79,Sheller/ Others
Brass,21,1195,Sub Yard
Brij Lal veer Bhan Rice Mill,1,67,Sheller/ Others
Brij rice mill Sunam,1,17,Sheller/ Others
Brothers Rice mill,3,53,Sheller/ Others
Buchonangal,7,380,Purchase Centre
Budhavar,9,252,Purchase Centre
Budhlada,78,2020,Main Yard
Buga Kalan,9,710,Purchase Centre
Bugara,5,379,Purchase Centre
Bughipura,7,360,Purchase Centre
Bugra,15,843,Purchase Centre
Bugra,15,843,Purchase Centre
Bujgar,5,341,Purchase Centre
Buladewala,8,489,Purchase Centre
Buraj Hari,17,513,Purchase Centre
Buraj Jhabar,9,392,Purchase Centre
Buraj Mansa,7,283,Purchase Centre
Buraj Mohamad,14,597,Purchase Centre
Buraj Pwat,6,400,Purchase Centre
Buraj Rathi,10,332,Purchase Centre
Buraj jawahar,5,589,Purchase Centre
Burj,13,388,Purchase Centre
Burj Dal,6,324,Purchase Centre
Burj Fatehgarh,4,342,Purchase Centre
Burj Hanumangarh,7,745,Purchase Centre
Burj Rajgarh,5,480,Purchase Centre
Burj Sema,17,404,Purchase Centre
Burwala,7,720,Purchase Centre
Butala,15,1196,Sub Yard
Butar Babuha,6,327,Purchase Centre
Butar kalan,20,876,Purchase Centre
Buter,8,536,Purchase Centre
Buttar Rice Mill,2,128,Sheller/ Others
Buttar Rice Mill,2,128,Sheller/ Others
Buttar Sareeh,10,941,Purchase Centre
"C.N. Industries, Balamgarh rode, Shri Mukatsar Sahib",1,151,Sheller/ Others
C.S. rice and agro Ind.,1,39,Sheller/ Others
Chabewal,27,966,Sub Yard
Chabila food,1,75,Sheller/ Others
Chabra Rice Mill,1,41,Sheller/ Others
Chachrari,9,394,Purchase Centre
Chadik,24,1336,Sub Yard
Chahal Rice Mill,2,159,Sheller/ Others
Chahal Rice Mill,2,159,Sheller/ Others
Chaina,8,286,Purchase Centre
Chak Aliser,8,638,Purchase Centre
Chak Bakhat,12,894,Sheller/ Others
Chak Bhange Wala,10,656,Purchase Centre
